timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746399730.515308213,3.45%,26.8121%,0%,1%
1746399761.604065992,22.99%,26.6182%,0%,1%
1746399792.686108656,3.15%,23.331%,0%,1%
1746399823.766565095,2.59%,23.9475%,0%,1%
1746399854.849783904,33.19%,26.7985%,0%,1%
1746399885.928760758,3.47%,26.9644%,0%,1%
1746399917.007360414,6.19%,26.8606%,0%,1%
1746399948.161206895,56.52%,26.786%,0%,1%
1746399979.243537339,3.16%,26.7524%,0%,1%
1746400010.323891205,21.60%,26.7161%,0%,1%
1746400041.452264758,29.06%,26.7303%,0%,1%
1746400072.538526576,3.15%,23.2125%,0%,1%
1746400103.626141701,3.19%,26.5678%,0%,1%
1746400134.722800109,39.65%,26.902%,0%,1%
1746400165.811220265,17.70%,27.0194%,2%,1%
1746400196.915575368,46.68%,26.8013%,0%,1%
1746400228.039671950,3.13%,26.7704%,0%,1%
1746400259.159343551,58.04%,26.8536%,0%,1%
1746400290.297596976,8.29%,26.7943%,0%,1%
1746400321.368546283,17.29%,26.7359%,0%,1%
1746400352.447477420,17.94%,26.7337%,0%,1%
1746400383.564087660,37.94%,26.7307%,0%,1%
1746400414.653489938,19.42%,27.0465%,0%,1%
1746400445.781443173,3.15%,26.815%,0%,1%
1746400476.862038753,17.24%,23.286%,0%,1%
1746400507.954754325,2.47%,23.497%,0%,1%
1746400539.034094941,3.13%,27.0245%,0%,1%
1746400570.109851845,26.01%,27.3213%,0%,1%
1746400601.208950940,3.12%,27.2823%,0%,1%
1746400632.287725724,14.72%,27.1805%,2%,1%
1746400663.381083161,3.68%,27.1656%,0%,1%
1746400694.460978817,59.69%,27.1631%,0%,1%
1746400725.619160139,28.18%,27.166%,0%,1%
1746400756.740845989,66.27%,27.1548%,0%,1%
1746400787.896399252,40.65%,27.165%,0%,1%
1746400818.994185274,12.38%,27.4142%,0%,1%
1746400850.075304025,30.26%,27.2452%,0%,2%
1746400881.201875188,51.38%,27.199%,0%,1%
1746400912.305249161,60.65%,27.1818%,0%,1%
1746400943.394097400,57.31%,27.1847%,0%,1%
