timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746833541.483000273,3.19%,24.3124%,0%,1%
1746833572.569820807,3.00%,24.2761%,0%,1%
1746833603.650511576,3.78%,29.2979%,0%,1%
1746833634.724006341,3.19%,24.9438%,0%,1%
1746833665.813520836,3.16%,24.2338%,17%,1%
1746833696.894842538,3.22%,28.507%,0%,1%
1746833727.975878193,11.43%,29.46%,0%,1%
1746833759.078811111,2.87%,25.2279%,0%,1%
1746833790.167890781,3.13%,25.1073%,0%,1%
1746833821.246160901,4.66%,24.9715%,0%,1%
1746833852.328778773,2.94%,25.0452%,0%,1%
1746833883.408987478,14.52%,29.7503%,0%,1%
1746833914.496601690,19.58%,29.7578%,0%,1%
1746833945.585795734,3.16%,25.2723%,0%,1%
1746833976.673300982,3.00%,25.213%,0%,1%
1746834007.756389397,3.19%,29.2098%,0%,1%
1746834038.836912832,18.49%,29.7489%,0%,1%
1746834069.935056939,3.31%,25.7967%,0%,1%
1746834101.022433005,3.16%,25.7078%,40%,1%
1746834132.103186892,20.26%,29.6489%,0%,1%
1746834163.193148425,23.94%,29.7594%,0%,1%
1746834194.298908735,3.16%,25.678%,0%,1%
1746834225.386808372,2.97%,25.6677%,0%,1%
1746834256.468169708,18.60%,29.6687%,0%,1%
1746834287.551745637,19.64%,29.7908%,0%,1%
1746834318.639096836,3.19%,25.6008%,0%,1%
1746834349.728811487,3.12%,25.5644%,0%,1%
1746834380.810224069,16.98%,29.6119%,0%,1%
1746834411.912220981,3.16%,25.6924%,0%,1%
1746834442.993562030,3.25%,25.6385%,7%,1%
1746834474.074743679,3.00%,25.2637%,0%,1%
1746834505.157213494,3.25%,29.3003%,0%,1%
1746834536.243837128,56.14%,29.8055%,0%,1%
1746834567.335606803,3.13%,25.62%,0%,1%
1746834598.415569777,3.25%,25.5854%,0%,1%
1746834629.496453718,14.09%,29.7831%,0%,1%
1746834660.583458737,3.22%,25.9522%,0%,1%
1746834691.671984599,3.10%,25.7817%,0%,1%
1746834722.751804524,2.81%,25.7316%,0%,1%
1746834753.832280631,10.23%,29.5819%,0%,1%
1746834785.000802081,3.25%,30.0657%,13%,1%
1746834816.081319865,3.25%,29.9782%,0%,1%
1746834847.156523134,3.07%,25.8012%,0%,1%
1746834878.245241096,3.13%,25.7902%,0%,1%
1746834909.334000044,28.15%,30.1465%,0%,1%
1746834940.428324148,27.71%,30.1111%,0%,1%
1746834971.520519992,3.13%,25.8981%,0%,1%
1746835002.601539086,3.09%,25.8339%,0%,1%
1746835033.681405479,15.35%,30.0836%,0%,1%
1746835064.785877593,17.09%,30.0032%,0%,1%
1746835095.883746906,3.19%,25.7365%,0%,1%
1746835126.972896507,3.22%,25.745%,0%,1%
1746835158.060141286,3.09%,29.6264%,0%,1%
1746835189.137663583,3.52%,30.0841%,19%,1%
1746835220.218709658,3.19%,25.8474%,0%,1%
1746835251.308016594,3.16%,25.8205%,0%,1%
1746835282.390863256,2.66%,25.776%,0%,1%
1746835313.472399520,3.25%,30.0855%,0%,1%
1746835344.550820172,3.19%,25.9508%,0%,1%
1746835375.630285513,3.16%,25.8558%,37%,1%
1746835406.718943983,2.82%,26.7625%,0%,1%
1746835437.799797357,30.30%,30.1236%,0%,1%
1746835468.873879984,3.25%,25.6454%,0%,1%
1746835499.954155334,5.22%,25.7098%,0%,1%
1746835531.042929962,3.13%,25.6447%,0%,1%
1746835562.122835899,3.16%,29.9387%,0%,1%
1746835593.205426590,56.26%,30.6997%,0%,1%
1746835624.278288388,7.89%,30.4541%,0%,1%
1746835655.368920690,3.09%,25.5913%,0%,1%
1746835686.451731774,3.16%,25.5801%,0%,1%
1746835717.539312624,46.72%,29.6354%,0%,1%
1746835748.633272515,3.19%,30.6542%,0%,1%
1746835779.713307404,3.22%,30.7039%,0%,1%
1746835810.792929599,3.25%,25.7594%,0%,1%
1746835841.876108884,2.91%,25.6898%,0%,1%
1746835872.955226633,15.37%,30.6125%,0%,1%
1746835904.037939895,8.37%,30.7434%,0%,1%
1746835935.119299779,3.13%,25.7949%,0%,1%
1746835966.199854041,3.22%,25.7266%,0%,1%
1746835997.282785482,3.12%,26.6698%,0%,1%
1746836028.363322553,18.39%,30.9318%,0%,1%
1746836059.494490016,3.06%,25.8046%,0%,1%
1746836090.574351049,2.65%,25.7029%,0%,1%
1746836121.662943115,3.16%,28.273%,0%,1%
1746836152.749326248,16.41%,30.7227%,0%,1%
1746836183.852554720,3.10%,25.6531%,0%,1%
1746836214.942768707,3.10%,25.6919%,0%,1%
1746836246.022183693,3.12%,28.4218%,0%,1%
1746836277.110362313,18.26%,30.6601%,0%,1%
1746836308.195464024,15.92%,30.7243%,0%,1%
1746836339.286085465,3.16%,25.6777%,0%,1%
1746836370.364952434,3.12%,25.6627%,0%,1%
1746836401.445409083,1.78%,28.0275%,19%,1%
1746836432.525708028,25.02%,30.7188%,0%,1%
1746836463.619925111,3.12%,25.7738%,0%,1%
1746836494.708737590,3.19%,25.7063%,0%,1%
1746836525.788232737,3.13%,25.6877%,0%,1%
1746836556.875777258,25.64%,30.404%,0%,1%
1746836587.989575671,29.20%,30.8103%,0%,1%
1746836619.119728041,3.13%,25.8455%,0%,1%
1746836650.197077654,3.31%,25.7363%,0%,1%
1746836681.279364045,3.06%,25.7153%,0%,1%
1746836712.359689910,3.22%,30.417%,0%,1%
1746836743.447976362,3.28%,30.8028%,0%,1%
1746836774.534417324,3.19%,25.682%,0%,1%
1746836805.619050205,3.10%,25.6335%,0%,1%
1746836836.707560167,5.16%,30.5793%,0%,1%
1746836867.790687224,3.25%,25.8098%,0%,1%
1746836898.882893838,3.13%,25.6242%,11%,1%
1746836929.970496818,3.22%,25.6257%,0%,1%
1746836961.049905673,3.13%,30.5031%,0%,1%
1746836992.140661346,3.13%,25.8721%,0%,1%
1746837023.221114559,3.03%,25.7184%,0%,1%
1746837054.308967940,3.10%,25.6777%,0%,1%
1746837085.384055531,7.32%,30.6219%,0%,1%
1746837116.479818163,29.69%,30.9003%,0%,1%
1746837147.577173412,3.19%,25.9958%,0%,1%
1746837178.656230687,3.22%,25.8158%,0%,1%
1746837209.738028282,3.06%,25.7503%,0%,1%
1746837240.820684847,25.96%,30.6495%,0%,1%
1746837271.907386217,3.13%,25.872%,0%,1%
1746837302.996769997,3.19%,25.7247%,0%,1%
1746837334.078021788,3.16%,26.0997%,0%,1%
1746837365.165225400,12.26%,31.2312%,0%,1%
1746837396.236571065,3.13%,25.7725%,0%,1%
1746837427.317969400,3.25%,25.641%,0%,1%
1746837458.397369258,3.10%,25.678%,0%,1%
1746837489.480001638,28.10%,30.6564%,4%,1%
1746837520.575828390,19.57%,30.8677%,0%,1%
1746837551.672201076,3.16%,25.5826%,0%,1%
1746837582.753625230,3.22%,25.5903%,0%,1%
1746837613.841196321,3.06%,25.6164%,0%,1%
1746837644.923614730,3.25%,30.7013%,0%,1%
1746837676.012097610,3.07%,25.6702%,0%,1%
1746837707.101065060,3.22%,25.6209%,0%,1%
1746837738.184067494,2.91%,26.038%,0%,1%
1746837769.264578024,3.19%,30.7013%,0%,1%
1746837800.346060408,3.13%,25.9542%,0%,1%
1746837831.433830863,3.16%,25.6886%,0%,1%
1746837862.516055197,3.00%,25.6533%,0%,1%
1746837893.596318725,3.13%,30.44%,0%,1%
1746837924.679367576,14.66%,31.2262%,0%,1%
1746837955.766367536,3.10%,25.8523%,0%,1%
1746837986.858467840,3.12%,25.7071%,0%,1%
1746838017.940339533,1.44%,29.678%,0%,1%
1746838049.027341106,24.21%,31.3959%,0%,1%
1746838080.128604523,3.13%,25.5935%,0%,1%
1746838111.210688775,55.32%,25.7627%,0%,1%
1746838142.285668124,3.00%,25.7793%,0%,1%
1746838173.368625493,3.22%,30.8555%,0%,1%
1746838204.457323297,3.09%,31.2052%,0%,1%
1746838235.542183554,24.30%,31.1339%,0%,1%
1746838266.629495409,3.19%,25.6232%,0%,1%
1746838297.711512275,3.06%,25.611%,0%,1%
1746838328.798813369,3.16%,30.7251%,0%,1%
1746838359.887291211,4.55%,31.3763%,0%,1%
1746838390.971400079,3.13%,25.6863%,0%,1%
1746838422.060487604,3.12%,25.6373%,0%,1%
1746838453.137123819,3.00%,25.668%,0%,1%
1746838484.222328102,43.47%,30.626%,4%,1%
1746838515.327150854,30.20%,31.4687%,0%,1%
1746838546.421602818,16.96%,31.402%,0%,1%
